ERPset                                  bin    	channel	value  
s2625_ERP (CLEAN; REB)                   21      	59      	 1.137
s2625_ERP (CLEAN; REB)                   21      	60      	-0.159
s2625_ERP (CLEAN; REB)                   21      	62      	 0.535
s2625_ERP (CLEAN; REB)                   21      	63      	 2.109
s2625_ERP (CLEAN; REB)                   23      	58      	 2.457
s2625_ERP (CLEAN; REB)                   23      	59      	 0.877
s2625_ERP (CLEAN; REB)                   23      	60      	-0.788
s2625_ERP (CLEAN; REB)                   23      	62      	 0.127
s2625_ERP (CLEAN; REB)                   23      	63      	 2.157
s2625_ERP (CLEAN; REB)                   24      	58      	 2.983
s2625_ERP (CLEAN; REB)                   24      	59      	 1.256
s2625_ERP (CLEAN; REB)                   24      	60      	-0.778
s2625_ERP (CLEAN; REB)                   24      	62      	 0.288
s2625_ERP (CLEAN; REB)                   24      	63      	 2.527
s2627_ERP (CLEAN; REB)                   20      	58      	-0.322
s2627_ERP (CLEAN; REB)                   20      	59      	-0.724
s2627_ERP (CLEAN; REB)                   20      	60      	-0.768
s2627_ERP (CLEAN; REB)                   20      	62      	-1.288
s2627_ERP (CLEAN; REB)                   20      	63      	-0.759
s2627_ERP (CLEAN; REB)                   21      	58      	 0.437
s2627_ERP (CLEAN; REB)                   21      	59      	 0.242
s2627_ERP (CLEAN; REB)                   21      	60      	 0.257
s2627_ERP (CLEAN; REB)                   21      	62      	-0.223
s2627_ERP (CLEAN; REB)                   21      	63      	 0.096
s2627_ERP (CLEAN; REB)                   23      	58      	 1.323
s2627_ERP (CLEAN; REB)                   23      	59      	 0.575
s2627_ERP (CLEAN; REB)                   23      	60      	 0.219
s2627_ERP (CLEAN; REB)                   23      	62      	 0.586
s2627_ERP (CLEAN; REB)                   23      	63      	 0.938
s2627_ERP (CLEAN; REB)                   24      	58      	 0.962
s2627_ERP (CLEAN; REB)                   24      	59      	 0.177
s2627_ERP (CLEAN; REB)                   24      	60      	-0.254
s2627_ERP (CLEAN; REB)                   24      	62      	 0.047
s2627_ERP (CLEAN; REB)                   24      	63      	 0.502
s2630_ERP (CLEAN; REB)                   20      	58      	 2.227
s2630_ERP (CLEAN; REB)                   20      	59      	 1.548
s2630_ERP (CLEAN; REB)                   20      	60      	 1.091
s2630_ERP (CLEAN; REB)                   20      	62      	 1.049
s2630_ERP (CLEAN; REB)                   20      	63      	 2.068
s2630_ERP (CLEAN; REB)                   21      	58      	 2.306
s2630_ERP (CLEAN; REB)                   21      	59      	 1.583
s2630_ERP (CLEAN; REB)                   21      	60      	 0.640
s2630_ERP (CLEAN; REB)                   21      	62      	 0.571
